Date,Team,Win,GF,Opponent,Win,GF,Draw,modal_score,comp_tier,notes
July 28@@24315,:my: MAS 🏡,93.6,4.4,:la: LAO,0.9,0.3,5.5,3-0,4,Southeast Asian Championship
July 28@@24315,:ph: PHI 🏡,76.8,2.7,:mm: MYA,7.2,0.7,16.0,1-0,4,Southeast Asian Championship
July 31@@24318,:vn: VIE 🏡,73.2,2.4,:sg: SGP,8.0,0.6,18.7,1-0,4,Southeast Asian Championship
Aug. 1@@24319,:la: LAO 🏡,6.3,0.7,:ph: PHI,79.1,2.9,14.6,0-2,4,Southeast Asian Championship
Aug. 1@@24319,:th: THA 🏡,66.1,2.2,:my: MAS,12.3,0.8,21.5,1-0,4,Southeast Asian Championship
Aug. 3@@24321,:id: IDN 🏡,59.3,1.9,:vn: VIE,16.3,0.9,24.4,1-0,4,Southeast Asian Championship
Aug. 4@@24322,:ph: PHI 🏡,25.0,1.2,:th: THA,48.6,1.7,26.4,0-1,4,Southeast Asian Championship
Aug. 4@@24322,:mm: MYA 🏡,72.8,2.6,:la: LAO,9.7,0.9,17.5,1-0,4,Southeast Asian Championship
Aug. 7@@24325,:vn: VIE 🏡,91.0,3.8,:kh: CAM,1.5,0.4,7.5,2-0,4,Southeast Asian Championship
Aug. 7@@24325,:sg: SGP 🏡,12.9,0.8,:id: IDN,64.9,2.1,22.1,0-1,4,Southeast Asian Championship
Aug. 8@@24326,:th: THA 🏡,89.2,3.6,:mm: MYA,2.1,0.4,8.8,2-0,4,Southeast Asian Championship
Aug. 8@@24326,:my: MAS 🏡,63.2,2.1,:ph: PHI,14.5,0.9,22.4,1-0,4,Southeast Asian Championship
Sept. 24@@24373,:at: AUT 🏡,66.8,2.4,:il: ISR,13.0,0.9,20.2,1-0,6,UEFA Nations League B
Sept. 24@@24373,:rs: SRB 🏡,37.9,1.3,:gr: GRE,32.0,1.2,30.1,0-0,6,UEFA Nations League A
Sept. 24@@24373,:no: NOR 🏡,55.7,1.9,:dk: DEN,19.3,1.0,25.0,1-0,6,UEFA Nations League A
Sept. 24@@24373,:nl: NED 🏡,44.0,1.8,:de: GER,30.6,1.4,25.4,1-1,6,UEFA Nations League A
Sept. 24@@24373,:ad: AND 🏡,21.7,0.7,:mt: MLT,42.9,1.1,35.4,0-0,6,UEFA Nations League D
Sept. 24@@24373,:xk: KOS 🏡,41.2,1.2,:ie: IRL,27.0,0.9,31.8,0-0,6,UEFA Nations League B
Sept. 24@@24373,:li: LIE 🏡,6.4,0.5,:lt: LTU,74.1,2.2,19.6,0-1,6,UEFA Nations League D
Sept. 24@@24373,:pt: POR 🏡,75.6,2.4,:gb-wls: WAL,6.5,0.5,17.9,1-0,6,UEFA Nations League A
Sept. 25@@24374,:tr: TUR 🏡,19.8,1.0,:fr: FRA,54.3,1.8,25.9,0-1,6,UEFA Nations League A
Sept. 25@@24374,:it: ITA 🏡,45.1,1.4,:be: BEL,25.1,1.0,29.8,0-0,6,UEFA Nations League A
Sept. 25@@24374,:am: ARM 🏡,46.1,1.5,:lv: LVA,25.4,1.1,28.4,1-0,6,UEFA Nations League C
Sept. 25@@24374,:se: SWE 🏡,58.3,1.8,:ro: ROU,16.3,0.8,25.3,1-0,6,UEFA Nations League B
Sept. 25@@24374,:pl: POL 🏡,58.0,1.9,:ba: BIH,17.5,0.9,24.6,1-0,6,UEFA Nations League B
Sept. 25@@24374,:hu: HUN 🏡,39.6,1.4,:ua: UKR,31.3,1.2,29.1,0-0,6,UEFA Nations League B
Sept. 25@@24374,:me: MNE 🏡,60.1,2.0,:cy: CYP,16.3,0.9,23.6,1-0,6,UEFA Nations League C
Sept. 25@@24374,:ge: GEO 🏡,51.4,1.5,:gb-nir: NIR,19.2,0.8,29.4,1-0,6,UEFA Nations League B
Sept. 26@@24375,:sm: SMR 🏡,1.1,0.3,:fi: FIN,91.2,3.6,7.7,0-2,6,UEFA Nations League C
Sept. 26@@24375,:mk: MKD 🏡,11.3,0.7,:ch: SUI,67.4,2.2,21.3,0-1,6,UEFA Nations League B
Sept. 26@@24375,:gb-eng: ENG 🏡,35.4,1.2,:es: ESP,34.5,1.2,30.0,0-0,6,UEFA Nations League A
Sept. 26@@24375,:sk: SVK 🏡,82.1,2.8,:md: MDA,3.9,0.4,14.0,2-0,6,UEFA Nations League C
Sept. 26@@24375,:al: ALB 🏡,60.2,1.7,:by: BLR,13.3,0.7,26.4,1-0,6,UEFA Nations League C
Sept. 26@@24375,:si: SVN 🏡,34.4,1.1,:gb-sct: SCO,34.3,1.1,31.2,0-0,6,UEFA Nations League B
Sept. 26@@24375,:fo: FRO 🏡,37.0,1.2,:kz: KAZ,31.8,1.1,31.2,0-0,6,UEFA Nations League C
Sept. 26@@24375,:bg: BUL 🏡,44.6,1.4,:lu: LUX,26.2,1.0,29.2,0-0,6,UEFA Nations League C
Sept. 26@@24375,:is: ISL 🏡,75.2,2.5,:ee: EST,7.1,0.6,17.7,1-0,6,UEFA Nations League C
Sept. 26@@24375,:cz: CZE 🏡,28.0,1.1,:hr: CRO,42.8,1.4,29.2,0-0,6,UEFA Nations League A
Sept. 27@@24376,:de: GER 🏡,70.2,2.4,:gr: GRE,10.5,0.8,19.4,1-0,6,UEFA Nations League A
Sept. 27@@24376,:lt: LTU 🏡,39.1,1.1,:az: AZE,27.8,0.9,33.2,0-0,6,UEFA Nations League D
Sept. 27@@24376,:gi: GIB 🏡,25.4,0.7,:ad: AND,35.8,0.9,38.8,0-0,6,UEFA Nations League D
Sept. 27@@24376,:no: NOR 🏡,38.6,1.4,:pt: POR,33.2,1.3,28.1,0-0,6,UEFA Nations League A
Sept. 27@@24376,:il: ISR 🏡,34.9,1.3,:ie: IRL,35.7,1.3,29.4,0-0,6,UEFA Nations League B
Sept. 27@@24376,:dk: DEN 🏡,61.8,1.9,:gb-wls: WAL,13.8,0.8,24.4,1-0,6,UEFA Nations League A
Sept. 27@@24376,:at: AUT 🏡,61.9,2.0,:xk: KOS,14.8,0.9,23.3,1-0,6,UEFA Nations League B
Sept. 27@@24376,:rs: SRB 🏡,19.1,1.0,:nl: NED,55.6,1.8,25.3,0-1,6,UEFA Nations League A
Sept. 28@@24377,:am: ARM 🏡,40.1,1.5,:me: MNE,32.5,1.3,27.4,1-1,6,UEFA Nations League C
Sept. 28@@24377,:lv: LVA 🏡,41.3,1.4,:cy: CYP,29.3,1.1,29.4,0-0,6,UEFA Nations League C
Sept. 28@@24377,:se: SWE 🏡,48.9,1.7,:pl: POL,24.5,1.1,26.7,1-0,6,UEFA Nations League B
Sept. 28@@24377,:gb-nir: NIR 🏡,31.9,1.1,:hu: HUN,37.1,1.2,31.0,0-0,6,UEFA Nations League B
Sept. 28@@24377,:ge: GEO 🏡,34.6,1.2,:ua: UKR,35.2,1.2,30.3,0-0,6,UEFA Nations League B
Sept. 28@@24377,:ro: ROU 🏡,42.2,1.4,:ba: BIH,28.4,1.1,29.4,0-0,6,UEFA Nations League B
Sept. 28@@24377,:tr: TUR 🏡,38.9,1.3,:it: ITA,30.7,1.1,30.4,0-0,6,UEFA Nations League A
Sept. 28@@24377,:be: BEL 🏡,22.3,1.0,:fr: FRA,50.7,1.7,27.0,0-1,6,UEFA Nations League A
Sept. 29@@24378,:md: MDA 🏡,28.9,1.0,:fo: FRO,38.9,1.2,32.2,0-0,6,UEFA Nations League C
Sept. 29@@24378,:fi: FIN 🏡,46.8,1.5,:by: BLR,24.3,1.0,29.0,1-0,6,UEFA Nations League C
Sept. 29@@24378,:lu: LUX 🏡,23.2,1.1,:is: ISL,50.5,1.7,26.3,0-1,6,UEFA Nations League C
Sept. 29@@24378,:es: ESP 🏡,78.6,2.6,:hr: CRO,5.5,0.5,15.9,1-0,6,UEFA Nations League A
Sept. 29@@24378,:sk: SVK 🏡,70.4,2.2,:kz: KAZ,9.3,0.7,20.3,1-0,6,UEFA Nations League C
Sept. 29@@24378,:bg: BUL 🏡,59.4,1.7,:ee: EST,14.4,0.7,26.2,1-0,6,UEFA Nations League C
Sept. 29@@24378,:si: SVN 🏡,60.4,1.8,:mk: MKD,14.7,0.8,24.9,1-0,6,UEFA Nations League B
Sept. 29@@24378,:sm: SMR 🏡,0.6,0.2,:al: ALB,93.5,4.0,5.9,0-3,6,UEFA Nations League C
Sept. 29@@24378,:cz: CZE 🏡,10.7,0.7,:gb-eng: ENG,67.1,2.0,22.2,0-1,6,UEFA Nations League A
Sept. 29@@24378,:gb-sct: SCO 🏡,32.6,1.2,:ch: SUI,37.7,1.3,29.7,0-0,6,UEFA Nations League B
Oct. 1@@24380,:az: AZE 🏡,85.6,2.9,:li: LIE,2.4,0.3,12.0,2-0,6,UEFA Nations League D
Oct. 1@@24380,:mt: MLT 🏡,78.6,2.5,:gi: GIB,4.9,0.4,16.5,1-0,6,UEFA Nations League D
Oct. 1@@24380,:ie: IRL 🏡,31.1,1.1,:at: AUT,38.1,1.2,30.7,0-0,6,UEFA Nations League B
Oct. 1@@24380,:gb-wls: WAL 🏡,15.5,0.8,:no: NOR,60.1,1.9,24.4,0-1,6,UEFA Nations League A
Oct. 1@@24380,:de: GER 🏡,74.5,2.7,:rs: SRB,8.6,0.8,16.9,1-0,6,UEFA Nations League A
Oct. 1@@24380,:gr: GRE 🏡,19.3,0.9,:nl: NED,54.0,1.7,26.7,0-1,6,UEFA Nations League A
Oct. 1@@24380,:il: ISR 🏡,38.2,1.5,:xk: KOS,34.7,1.4,27.1,1-1,6,UEFA Nations League B
Oct. 1@@24380,:dk: DEN 🏡,29.2,1.2,:pt: POR,42.1,1.4,28.7,0-0,6,UEFA Nations League A
Oct. 2@@24381,:pl: POL 🏡,54.6,1.7,:ro: ROU,18.7,0.9,26.6,1-0,6,UEFA Nations League B
Oct. 2@@24381,:lv: LVA 🏡,28.0,1.1,:me: MNE,42.2,1.4,29.7,0-0,6,UEFA Nations League C
Oct. 2@@24381,:fr: FRA 🏡,60.6,1.7,:it: ITA,12.9,0.6,26.5,1-0,6,UEFA Nations League A
Oct. 2@@24381,:hu: HUN 🏡,55.4,1.9,:ge: GEO,19.6,1.0,25.1,1-0,6,UEFA Nations League B
Oct. 2@@24381,:fo: FRO 🏡,14.3,0.7,:sk: SVK,59.0,1.7,26.7,0-1,6,UEFA Nations League C
Oct. 2@@24381,:kz: KAZ 🏡,66.2,2.0,:md: MDA,11.4,0.7,22.4,1-0,6,UEFA Nations League C
Oct. 2@@24381,:be: BEL 🏡,45.6,1.7,:tr: TUR,27.9,1.3,26.5,1-0,6,UEFA Nations League A
Oct. 2@@24381,:ua: UKR 🏡,57.9,1.5,:gb-nir: NIR,13.7,0.6,28.4,1-0,6,UEFA Nations League B
Oct. 2@@24381,:ba: BIH 🏡,30.1,1.2,:se: SWE,42.2,1.5,27.8,0-1,6,UEFA Nations League B
Oct. 2@@24381,:cy: CYP 🏡,39.8,1.5,:am: ARM,33.1,1.4,27.1,1-1,6,UEFA Nations League C
Oct. 3@@24382,:ch: SUI 🏡,67.3,2.1,:si: SVN,10.6,0.7,22.1,1-0,6,UEFA Nations League B
Oct. 3@@24382,:hr: CRO 🏡,20.6,0.9,:gb-eng: ENG,50.8,1.5,28.6,0-1,6,UEFA Nations League A
Oct. 3@@24382,:es: ESP 🏡,89.2,3.5,:cz: CZE,1.9,0.4,9.0,2-0,6,UEFA Nations League A
Oct. 3@@24382,:mk: MKD 🏡,21.0,0.9,:gb-sct: SCO,51.6,1.6,27.4,0-1,6,UEFA Nations League B
Oct. 3@@24382,:ee: EST 🏡,27.3,1.0,:lu: LUX,42.1,1.3,30.6,0-0,6,UEFA Nations League C
Oct. 3@@24382,:by: BLR 🏡,94.0,4.2,:sm: SMR,0.6,0.2,5.4,3-0,6,UEFA Nations League C
Oct. 3@@24382,:fi: FIN 🏡,29.7,1.0,:al: ALB,38.4,1.2,31.9,0-0,6,UEFA Nations League C
Oct. 3@@24382,:is: ISL 🏡,64.8,2.1,:bg: BUL,13.0,0.8,22.1,1-0,6,UEFA Nations League C
Oct. 4@@24383,:nl: NED 🏡,74.9,2.5,:rs: SRB,7.5,0.7,17.5,1-0,6,UEFA Nations League A
Oct. 4@@24383,:gr: GRE 🏡,14.9,0.9,:de: GER,62.8,2.1,22.3,0-1,6,UEFA Nations League A
Oct. 4@@24383,:gb-wls: WAL 🏡,24.9,1.0,:dk: DEN,46.2,1.5,29.0,0-1,6,UEFA Nations League A
Oct. 4@@24383,:xk: KOS 🏡,31.6,1.3,:at: AUT,40.2,1.5,28.2,0-0,6,UEFA Nations League B
Oct. 4@@24383,:mt: MLT 🏡,57.5,1.4,:ad: AND,12.6,0.5,29.9,1-0,6,UEFA Nations League D
Oct. 4@@24383,:ie: IRL 🏡,48.3,1.6,:il: ISR,23.8,1.0,28.0,1-0,6,UEFA Nations League B
Oct. 4@@24383,:az: AZE 🏡,45.5,1.3,:lt: LTU,22.5,0.8,32.0,0-0,6,UEFA Nations League D
Oct. 4@@24383,:pt: POR 🏡,51.7,1.7,:no: NOR,22.0,1.1,26.2,1-0,6,UEFA Nations League A
Oct. 5@@24384,:ua: UKR 🏡,46.9,1.5,:hu: HUN,24.9,1.1,28.2,1-0,6,UEFA Nations League B
Oct. 5@@24384,:gb-nir: NIR 🏡,42.4,1.3,:ge: GEO,26.1,0.9,31.5,0-0,6,UEFA Nations League B
Oct. 5@@24384,:me: MNE 🏡,51.7,1.8,:am: ARM,22.5,1.1,25.7,1-0,6,UEFA Nations League C
Oct. 5@@24384,:ro: ROU 🏡,29.9,1.1,:se: SWE,40.9,1.4,29.3,0-0,6,UEFA Nations League B
Oct. 5@@24384,:ba: BIH 🏡,31.3,1.3,:pl: POL,40.7,1.5,28.0,0-0,6,UEFA Nations League B
Oct. 5@@24384,:it: ITA 🏡,42.6,1.4,:tr: TUR,27.4,1.0,30.0,0-0,6,UEFA Nations League A
Oct. 5@@24384,:cy: CYP 🏡,41.9,1.4,:lv: LVA,28.8,1.1,29.3,0-0,6,UEFA Nations League C
Oct. 5@@24384,:fr: FRA 🏡,66.3,2.1,:be: BEL,11.8,0.8,21.9,1-0,6,UEFA Nations League A
Oct. 6@@24385,:gb-eng: ENG 🏡,81.2,2.7,:cz: CZE,4.3,0.5,14.5,2-0,6,UEFA Nations League A
Oct. 6@@24385,:by: BLR 🏡,36.0,1.2,:fi: FIN,33.8,1.2,30.2,0-0,6,UEFA Nations League C
Oct. 6@@24385,:kz: KAZ 🏡,55.4,1.6,:fo: FRO,17.1,0.8,27.5,1-0,6,UEFA Nations League C
Oct. 6@@24385,:ee: EST 🏡,19.0,0.9,:is: ISL,54.8,1.7,26.2,0-1,6,UEFA Nations League C
Oct. 6@@24385,:lu: LUX 🏡,34.7,1.2,:bg: BUL,35.3,1.2,30.0,0-0,6,UEFA Nations League C
Oct. 6@@24385,:al: ALB 🏡,96.6,5.1,:sm: SMR,0.2,0.1,3.2,4-0,6,UEFA Nations League C
Oct. 6@@24385,:hr: CRO 🏡,16.5,0.9,:es: ESP,58.1,1.8,25.3,0-1,6,UEFA Nations League A
Oct. 6@@24385,:gb-sct: SCO 🏡,56.6,1.7,:si: SVN,16.4,0.8,27.1,1-0,6,UEFA Nations League B
Oct. 6@@24385,:ch: SUI 🏡,81.1,2.8,:mk: MKD,4.7,0.5,14.2,2-0,6,UEFA Nations League B
Oct. 6@@24385,:md: MDA 🏡,6.2,0.5,:sk: SVK,76.1,2.4,17.7,0-1,6,UEFA Nations League C
Nov. 12@@24422,:cz: CZE 🏡,8.1,0.6,:es: ESP,73.2,2.4,18.7,0-1,6,UEFA Nations League A
Nov. 12@@24422,:me: MNE 🏡,51.5,1.6,:lv: LVA,20.6,0.9,27.9,1-0,6,UEFA Nations League C
Nov. 12@@24422,:it: ITA 🏡,22.4,0.8,:fr: FRA,46.2,1.3,31.4,0-0,6,UEFA Nations League A
Nov. 12@@24422,:al: ALB 🏡,55.1,1.6,:fi: FIN,16.7,0.7,28.2,1-0,6,UEFA Nations League C
Nov. 12@@24422,:am: ARM 🏡,53.9,1.9,:cy: CYP,21.2,1.1,24.9,1-0,6,UEFA Nations League C
Nov. 12@@24422,:tr: TUR 🏡,43.5,1.6,:be: BEL,29.7,1.3,26.7,1-1,6,UEFA Nations League A
Nov. 12@@24422,:sm: SMR 🏡,1.6,0.3,:by: BLR,88.9,3.3,9.5,0-2,6,UEFA Nations League C
Nov. 12@@24422,:gb-eng: ENG 🏡,66.4,2.0,:hr: CRO,10.8,0.6,22.9,1-0,6,UEFA Nations League A
Nov. 13@@24423,:gb-sct: SCO 🏡,72.6,2.3,:mk: MKD,8.1,0.6,19.3,1-0,6,UEFA Nations League B
Nov. 13@@24423,:ad: AND 🏡,54.1,1.3,:gi: GIB,13.2,0.5,32.7,0-0,6,UEFA Nations League D
Nov. 13@@24423,:lu: LUX 🏡,48.1,1.5,:ee: EST,22.5,0.9,29.5,1-0,6,UEFA Nations League C
Nov. 13@@24423,:si: SVN 🏡,21.6,0.9,:ch: SUI,50.3,1.6,28.2,0-1,6,UEFA Nations League B
Nov. 13@@24423,:md: MDA 🏡,21.6,0.9,:kz: KAZ,50.7,1.6,27.8,0-1,6,UEFA Nations League C
Nov. 13@@24423,:sk: SVK 🏡,74.5,2.3,:fo: FRO,6.4,0.5,19.0,1-0,6,UEFA Nations League C
Nov. 13@@24423,:rs: SRB 🏡,14.5,1.0,:de: GER,64.4,2.3,21.1,0-1,6,UEFA Nations League A
Nov. 13@@24423,:li: LIE 🏡,6.8,0.5,:az: AZE,72.8,2.1,20.4,0-1,6,UEFA Nations League D
Nov. 13@@24423,:nl: NED 🏡,70.5,2.2,:gr: GRE,9.3,0.7,20.3,1-0,6,UEFA Nations League A
Nov. 13@@24423,:bg: BUL 🏡,35.4,1.4,:is: ISL,36.3,1.4,28.2,0-0,6,UEFA Nations League C
Nov. 14@@24424,:ro: ROU 🏡,31.0,1.2,:pl: POL,39.5,1.3,29.5,0-0,6,UEFA Nations League B
Nov. 14@@24424,:ge: GEO 🏡,38.5,1.4,:hu: HUN,33.7,1.3,27.8,1-1,6,UEFA Nations League B
Nov. 14@@24424,:se: SWE 🏡,62.0,2.0,:ba: BIH,14.9,0.9,23.1,1-0,6,UEFA Nations League B
Nov. 14@@24424,:pt: POR 🏡,63.7,2.0,:dk: DEN,13.3,0.8,23.1,1-0,6,UEFA Nations League A
Nov. 14@@24424,:at: AUT 🏡,56.5,1.7,:ie: IRL,16.7,0.8,26.8,1-0,6,UEFA Nations League B
Nov. 14@@24424,:no: NOR 🏡,70.9,2.3,:gb-wls: WAL,9.2,0.7,19.9,1-0,6,UEFA Nations League A
Nov. 14@@24424,:gb-nir: NIR 🏡,29.4,0.9,:ua: UKR,36.5,1.0,34.2,0-0,6,UEFA Nations League B
Nov. 14@@24424,:xk: KOS 🏡,49.0,1.8,:il: ISR,25.1,1.2,26.0,1-0,6,UEFA Nations League B
Nov. 15@@24425,:lv: LVA 🏡,32.7,1.2,:am: ARM,37.9,1.3,29.4,0-0,6,UEFA Nations League C
Nov. 15@@24425,:es: ESP 🏡,55.2,1.7,:gb-eng: ENG,18.1,0.9,26.7,1-0,6,UEFA Nations League A
Nov. 15@@24425,:be: BEL 🏡,43.1,1.4,:it: ITA,26.7,1.0,30.2,0-0,6,UEFA Nations League A
Nov. 15@@24425,:fi: FIN 🏡,95.1,4.5,:sm: SMR,0.4,0.2,4.5,3-0,6,UEFA Nations League C
Nov. 15@@24425,:hr: CRO 🏡,63.5,2.0,:cz: CZE,13.0,0.8,23.5,1-0,6,UEFA Nations League A
Nov. 15@@24425,:by: BLR 🏡,25.6,0.9,:al: ALB,42.7,1.3,31.8,0-0,6,UEFA Nations League C
Nov. 15@@24425,:fr: FRA 🏡,65.5,2.1,:tr: TUR,12.5,0.8,22.1,1-0,6,UEFA Nations League A
Nov. 15@@24425,:cy: CYP 🏡,35.1,1.4,:me: MNE,37.2,1.4,27.8,1-1,6,UEFA Nations League C
Nov. 16@@24426,:lt: LTU 🏡,81.6,2.6,:li: LIE,3.6,0.4,14.8,2-0,6,UEFA Nations League D
Nov. 16@@24426,:gr: GRE 🏡,41.8,1.4,:rs: SRB,28.5,1.1,29.7,0-0,6,UEFA Nations League A
Nov. 16@@24426,:gi: GIB 🏡,12.8,0.7,:mt: MLT,61.8,1.8,25.4,0-1,6,UEFA Nations League D
Nov. 16@@24426,:mk: MKD 🏡,28.5,1.1,:si: SVN,41.9,1.4,29.6,0-0,6,UEFA Nations League B
Nov. 16@@24426,:kz: KAZ 🏡,20.6,0.9,:sk: SVK,52.2,1.7,27.2,0-1,6,UEFA Nations League C
Nov. 16@@24426,:fo: FRO 🏡,54.7,1.5,:md: MDA,16.8,0.7,28.5,1-0,6,UEFA Nations League C
Nov. 16@@24426,:is: ISL 🏡,62.3,2.1,:lu: LUX,14.8,0.9,22.9,1-0,6,UEFA Nations League C
Nov. 16@@24426,:ee: EST 🏡,29.1,1.0,:bg: BUL,39.6,1.2,31.3,0-0,6,UEFA Nations League C
Nov. 16@@24426,:ch: SUI 🏡,58.6,1.8,:gb-sct: SCO,16.0,0.8,25.4,1-0,6,UEFA Nations League B
Nov. 16@@24426,:de: GER 🏡,46.9,1.8,:nl: NED,28.0,1.4,25.1,1-1,6,UEFA Nations League A
Nov. 17@@24427,:pl: POL 🏡,43.3,1.6,:se: SWE,29.2,1.2,27.5,1-0,6,UEFA Nations League B
Nov. 17@@24427,:dk: DEN 🏡,32.5,1.3,:no: NOR,39.7,1.5,27.8,1-1,6,UEFA Nations League A
Nov. 17@@24427,:il: ISR 🏡,24.8,1.3,:at: AUT,50.2,1.9,24.9,0-1,6,UEFA Nations League B
Nov. 17@@24427,:gb-wls: WAL 🏡,13.1,0.7,:pt: POR,62.7,1.9,24.2,0-1,6,UEFA Nations League A
Nov. 17@@24427,:ba: BIH 🏡,40.3,1.3,:ro: ROU,30.1,1.1,29.6,0-0,6,UEFA Nations League B
Nov. 17@@24427,:ie: IRL 🏡,44.2,1.3,:xk: KOS,24.5,0.9,31.3,0-0,6,UEFA Nations League B
Nov. 17@@24427,:hu: HUN 🏡,56.1,1.7,:gb-nir: NIR,16.8,0.8,27.1,1-0,6,UEFA Nations League B
Nov. 17@@24427,:ua: UKR 🏡,57.2,1.7,:ge: GEO,16.6,0.8,26.2,1-0,6,UEFA Nations League B